TaxiPassangerPredictionExperiment637837599358625914.txt
******Sequence Starting*****
cycle : 108 	 Accuracy :75 	 
Cycle: 109 	 Saturated Accuracy : 75 	 Number of times repeated 1
cycle : 110 	 Accuracy :79.16666666666666 	 
cycle : 111 	 Accuracy :83.33333333333334 	 
Cycle: 112 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
Cycle: 113 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 2
Cycle: 114 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 3
Cycle: 115 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 4
cycle : 116 	 Accuracy :79.16666666666666 	 
cycle : 117 	 Accuracy :83.33333333333334 	 
Cycle: 118 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
Cycle: 119 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 2
cycle : 120 	 Accuracy :79.16666666666666 	 
cycle : 121 	 Accuracy :83.33333333333334 	 
cycle : 122 	 Accuracy :75 	 
cycle : 123 	 Accuracy :83.33333333333334 	 
Cycle: 124 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
Cycle: 125 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 2
cycle : 126 	 Accuracy :79.16666666666666 	 
cycle : 127 	 Accuracy :83.33333333333334 	 
cycle : 128 	 Accuracy :75 	 
Cycle: 129 	 Saturated Accuracy : 75 	 Number of times repeated 1
cycle : 130 	 Accuracy :83.33333333333334 	 
cycle : 131 	 Accuracy :79.16666666666666 	 
cycle : 132 	 Accuracy :83.33333333333334 	 
Cycle: 133 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 1
Cycle: 134 	 Saturated Accuracy : 83.33333333333334 	 Number of times repeated 2
cycle : 135 	 Accuracy :79.16666666666666 	 
Cycle: 136 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 1
Cycle: 137 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 2
cycle : 138 	 Accuracy :83.33333333333334 	 
cycle : 139 	 Accuracy :79.16666666666666 	 
Cycle: 140 	 Saturated Accuracy : 79.16666666666666 	 Number of times repeated 1
cycle : 141 	 Accuracy :83.33333333333334 	 
cycle : 142 	 Accuracy :75 	 
cycle : 143 	 Accuracy :79.16666666666666 	 
